model,clustering,reduction,coherence_score
model_trial_1,K-means,UMAP,0.3271
model_trial_2,K-means,UMAP,0.3741
model_trial_3,K-means,UMAP,0.3873
model_trial_0,K-means,UMAP,0.4871
model_trial_1,K-means,UMAP,0.4176
model_trial_2,K-means,UMAP,0.4322
model_trial_3,HDBSCAN,UMAP,0.3753
model_trial_4,HDBSCAN,UMAP,0.356
model_trial_5,HDBSCAN,UMAP,0.3761
model_trial_6,K-means,UMAP,0.4541
model_trial_7,K-means,PCA,0.388
model_trial_8,K-means,UMAP,0.4653
model_trial_9,K-means,UMAP,0.4708
model_trial_0,K-means,PCA,0.7702
model_trial_1,K-means,UMAP,0.7741
model_trial_2,K-means,UMAP,0.764
model_trial_0,K-means,PCA,0.4257
model_trial_1,K-means,PCA,0.4358
model_trial_3,K-means,PCA,0.4268
model_trial_5,HDBSCAN,UMAP,0.4201
model_trial_7,K-means,PCA,0.4353
model_trial_9,K-means,UMAP,0.452
model_trial_0,K-means,PCA,0.4153
model_trial_1,K-means,PCA,0.8845
model_trial_4,K-means,PCA,0.8737
model_trial_5,HDBSCAN,UMAP,0.5165
model_trial_6,K-means,PCA,0.4177
model_trial_7,K-means,PCA,0.4177
model_trial_9,K-means,PCA,0.4257
model_trial_10,K-means,UMAP,0.8434
model_trial_11,K-means,PCA,0.8737
model_trial_12,K-means,PCA,0.8845
model_trial_13,K-means,PCA,0.8729
model_trial_14,K-means,PCA,0.8903
model_trial_15,K-means,UMAP,0.8653
model_trial_16,K-means,PCA,0.8903
model_trial_17,K-means,PCA,0.8903
model_trial_18,HDBSCAN,UMAP,0.7598
model_trial_19,K-means,PCA,0.8856
model_trial_20,K-means,PCA,0.8856
model_trial_21,K-means,PCA,0.8903
model_trial_22,K-means,PCA,0.8903
model_trial_23,K-means,PCA,0.8856
model_trial_24,K-means,PCA,0.8864
model_trial_25,K-means,PCA,0.8903
model_trial_26,HDBSCAN,UMAP,0.7444
model_trial_27,K-means,PCA,0.8864
model_trial_28,K-means,PCA,0.8084
model_trial_29,K-means,PCA,0.4177
