bigram,score
"('reconhecimento', 'facial')",12.63549764916895
"('boletim', 'ocorrência')",12.598610693166757
"('ce', 'onsigo')",12.544534020410962
"('rede', 'social')",12.058843663229782
"('dano', 'moral')",11.914045054374066
"('ofertar', 'apresentação')",11.405130963745547
"('cumprimento', 'forçar')",11.390687226982227
"('palavra', 'chave')",11.275847946800582
"('forçar', 'obrigação')",11.210114981340405
"('centro', 'distribuiçãor')",11.183231687189458
"('centro', 'distribuição')",11.009202287414407
"('com', 'si')",10.898170975025664
"('correr', 'risco')",10.784303010467386
"('guarda', 'roupa')",10.763174306886306
"('assistência', 'técnico')",10.72915965001724
"('propaganda', 'enganoso')",10.57929943857164
"('black', 'friday')",10.513507124790339
"('garantia', 'estendido')",10.412267145027174
"('cumprimento', 'ofertar')",10.376934071914896
"('exigir', 'cumprimento')",10.375330186212304
