score,topic,alpha,eta,min_count,filter
0.46274629946419066,2,0.3409594328838834,0.5625556745449014,10,0.902339185979272
0.45875440094166564,2,0.6733212446855943,0.9528321264534895,6,0.7382782905333461
0.4594495186250341,3,0.13932536737961448,0.16057237414970293,6,0.7203794724472776
0.4470022400579676,2,0.9591445520488315,0.5272820561165813,4,0.876329180771096
0.4579040365352439,4,0.41964530944860956,0.8521680538043263,13,0.8263363013883904
0.45715035717844055,4,0.9888498937845908,0.11255080603471596,18,0.9332230439283937
0.4406510257703579,2,0.6596622899922953,0.4792398735175663,4,0.8097914627355774
0.46215484916702704,4,0.9688953125058555,0.464007195142231,10,0.8458810870446474
0.45200110887889533,4,0.34187592760912267,0.7616170506177818,16,0.8504129347573302
0.45013611654431035,4,0.9322585042875597,0.98442669690609,15,0.7038546724513695
0.46205587129730086,3,0.09747993622339429,0.7346332996083225,10,0.9459711899258969
0.44295397408510645,3,0.5951071429241486,0.46776514175535455,9,0.8934778578390887
0.4742247064206374,2,0.28047613151993656,0.3280135294339867,11,0.9014175203002983
0.4302153925682194,2,0.2598249996766446,0.2811370021293623,14,0.9134663369762878
0.45447342113804035,2,0.23007415848310153,0.2915144781023729,20,0.9008638778231661
0.44584716447624995,2,0.01314273146672068,0.026133819011304016,12,0.949213921039245
0.45239931939893424,3,0.45806291940420296,0.592249214657921,7,0.8781612631719337
0.42905243575629537,2,0.31452816375040543,0.34836058619604476,2,0.9174394053710524
0.4469437366651669,3,0.388593951415645,0.6381629790573399,8,0.9136426262465923
0.4797495850213513,2,0.22538055426729497,0.3773838767889952,11,0.8748742704610932
