topic,ngram_range,alpha,eta,min_count,filter,score
11,"(1, 1)",0.012415425271453647,0.29863740358502044,5,0.7009248426326764,0.47197153642899325
10,"(1, 1)",0.4766205430797445,0.11215996702917362,16,0.7598800128687531,0.4666698608945251
6,"(1, 3)",0.31720910985801715,0.18347813204812827,11,0.9327912546852695,0.44742934613584845
9,"(1, 1)",0.8117597514507735,0.264993416043547,2,0.7040599356791437,0.46541109129592595
9,"(1, 3)",0.23702662662410048,0.17215856400628457,3,0.7993918606384071,0.4804094692433422
4,"(1, 1)",0.5806259262018777,0.3126880551527421,12,0.8633349442654336,0.4652451093793431
7,"(1, 1)",0.13686734831811737,0.39831968533725465,5,0.8544628385899076,0.4520130171499588
11,"(1, 3)",0.5063512478055379,0.6789595325561149,11,0.9362341421374254,0.4325493713381443
8,"(1, 3)",0.7630304825902269,0.36215003117392874,3,0.9116659045283855,0.4666539681432629
5,"(1, 3)",0.045017521598959644,0.10330510270263629,2,0.9451055954903578,0.45249997654363117
12,"(1, 2)",0.958794849796614,0.02285571544678966,20,0.7972254922152922,0.44817889584411835
10,"(1, 2)",0.027881207957314275,0.5863073985277499,6,0.7132950887516777,0.45018164101340297
12,"(1, 3)",0.22038674580564577,0.9893201432915979,7,0.7573921459606732,0.4571171311679314
9,"(1, 1)",0.27215020176013177,0.2339510914312949,8,0.8129492384625876,0.47117395885793534
10,"(1, 2)",0.01814083955891077,0.013927609129763707,9,0.7492403992220521,0.4594351507437409
8,"(1, 1)",0.1585209653128668,0.4531531078479282,4,0.7895345508977876,0.4652140305914623
11,"(1, 3)",0.34259201516307985,0.17684955103778888,5,0.7200578959016577,0.4466940855811869
7,"(1, 1)",0.15413429926977204,0.2847668212522846,9,0.7365862075529486,0.45552341211644803
9,"(1, 3)",0.3790917788347322,0.495292340413531,14,0.7811889037126739,0.4833630488121962
9,"(1, 3)",0.39796091281401386,0.5277130755177131,15,0.7810879746786887,0.4673636113388154
